indicator;QE;QE_NO
"TN_winter";"Nutrients";"Næringsstoffer"
"NO3_summer";"Nutrients";"Næringsstoffer"
"TP_winter";"Nutrients";"Næringsstoffer"
"PO4_winter";"Nutrients";"Næringsstoffer"
"TN_summer";"Nutrients";"Næringsstoffer"
"DO_bot";"Oxygen";"Oxygen"
"NH4_winter";"Nutrients";"Næringsstoffer"
"NH4_summer";"Nutrients";"Næringsstoffer"
"NO3_winter";"Nutrients";"Næringsstoffer"
"Chl";"Phytoplankton";"Planteplankton"
"Secchi";"Secchi";"Secchi"
"NQI1";"Bottom fauna";"Bundfauna"
"PO4_summer";"Nutrients";"Næringsstoffer"
"TP_summer";"Nutrients";"Næringsstoffer"
"H";"Bottom fauna";"Bundfauna"
"MSMDI";"Macroalgae";"Makroalger"
"totn, vinter";"Nutrients";"Næringsstoffer"
"no3-n, sommer";"Nutrients";"Næringsstoffer"
"totp, vinter";"Nutrients";"Næringsstoffer"
"po4-p, vinter";"Nutrients";"Næringsstoffer"
"totn, sommer";"Nutrients";"Næringsstoffer"
"oksygen";"Oxygen";"Oxygen"
"nh4-n, vinter";"Nutrients";"Næringsstoffer"
"nh4-n, sommer";"Nutrients";"Næringsstoffer"
"no3-n, vinter";"Nutrients";"Næringsstoffer"
"klfa";"Phytoplankton";"Planteplankton"
"siktdyp, sommer";"Secchi";"Secchi"
"nNQI1";"Bottom fauna";"Bundfauna"
"nES100";"Bottom fauna";"Bundfauna"
"oksygenmetning";"Oxygen";"Oxygen"
"po4-p, sommer";"Nutrients";"Næringsstoffer"
"totp, sommer";"Nutrients";"Næringsstoffer"
"nH'";"Bottom fauna";"Bundfauna"
"MSMDI";"Macroalgae";"Makroalger"
"nISI";"Bottom fauna";"Bundfauna"
"nNSI";"Bottom fauna";"Bundfauna"
